Date,Open,High,Low,Close,Adj Close,Volume
9/7/2019,2965.52,2981.90,2963.44,2979.63,2979.63,3028210000.00
10/7/2019,2989.30,3002.98,2984.62,2993.07,2993.07,3154240000.00
11/7/2019,2999.62,3002.33,2988.80,2999.91,2999.91,3154620000.00
12/7/2019,3003.36,3013.92,3001.87,3013.77,3013.77,2974960000.00
7/15/2019,3017.80,3017.80,3008.77,3014.30,3014.30,2874970000.00
7/16/2019,3012.13,3015.02,3001.15,3004.04,3004.04,3290650000.00
7/17/2019,3005.10,3005.26,2984.25,2984.42,2984.42,3181600000.00
7/18/2019,2978.87,2998.28,2973.09,2995.11,2995.11,3296580000.00
7/19/2019,3004.26,3006.02,2975.86,2976.61,2976.61,3260360000.00
7/22/2019,2981.93,2990.71,2976.65,2985.03,2985.03,3003720000.00
7/23/2019,2994.74,3005.90,2988.56,3005.47,3005.47,3313660000.00
7/24/2019,2998.77,3019.59,2996.82,3019.56,3019.56,3428980000.00
7/25/2019,3016.26,3016.31,2997.24,3003.67,3003.67,3645270000.00
7/26/2019,3013.25,3027.98,3012.59,3025.86,3025.86,3257590000.00
7/29/2019,3024.47,3025.61,3014.30,3020.97,3020.97,3203710000.00
7/30/2019,3007.66,3017.19,3000.94,3013.18,3013.18,3634330000.00
7/31/2019,3016.22,3017.40,2958.08,2980.38,2980.38,4623430000.00
1/8/2019,2980.32,3013.59,2945.23,2953.56,2953.56,4762300000.00
2/8/2019,2943.90,2945.50,2914.11,2932.05,2932.05,3874660000.00
5/8/2019,2898.07,2898.07,2822.12,2844.74,2844.74,4513730000.00
6/8/2019,2861.18,2884.40,2847.42,2881.77,2881.77,4154240000.00
7/8/2019,2858.65,2892.17,2825.71,2883.98,2883.98,4491750000.00
8/8/2019,2896.21,2938.72,2894.47,2938.09,2938.09,4106370000.00
9/8/2019,2930.51,2935.75,2900.15,2918.65,2918.65,3350640000.00
12/8/2019,2907.07,2907.58,2873.14,2882.70,2882.70,2851630000.00
8/13/2019,2880.72,2943.31,2877.05,2926.32,2926.32,3853600000.00
8/14/2019,2894.15,2894.15,2839.64,2840.60,2840.60,4312530000.00
8/15/2019,2846.20,2856.67,2825.51,2847.60,2847.60,4038000000.00
